model,label,type,MAE_mean,MAE_std,MAE_CI_lo,MAE_CI_hi,RMSE_mean,LevelAcc_mean,LevelAcc_std,PICP,MPIW,NLL,CRPS,MAE_Mild,MAE_Mod,MAE_Sev,wilcoxon_fdr_q,significance
Proposed,Proposed,proposed,0.01808,0.001154816002660164,0.0173,0.0189,0.02462,0.9004200000000001,0.004640000000000022,0.6495,0.03982,-1.5440112829208374,0.01432,,0.018080862,,—,—
B1_MLP,MLP Regression,baseline,0.02768,0.002288580345978704,0.0266,0.0288,0.0356,0.8011800000000001,0.011911406298166484,,,,,,0.027663752,,—,***
B2_EmbLSTM,CNN-Emb + LSTM,baseline,0.02592,0.0019518196638009361,0.025,0.0271,0.033339999999999995,0.8064,0.015342750731208511,,,,,,0.025929574,,—,***
B2b_GRU,CNN-Emb + GRU,baseline,0.024380000000000002,0.0018048822676285572,0.0234,0.0254,0.03176,0.8233,0.0139295369628714,,,,,,0.024383564,,—,***
B3_TCN,TCN,baseline,0.0261,0.002296954505426696,0.025,0.0273,0.033940000000000005,0.80846,0.017090886460333177,,,,,,0.026092742,,—,***
B4_Transformer,Transformer Enc.,baseline,0.026019999999999998,0.0011478675881825397,0.025,0.027,0.03318,0.8241400000000001,0.01735725784794363,,,,,,0.026024032,,—,***
B5_NoTemporal,No Temporal Mdl,baseline,0.02314,0.0014636939570825587,0.0219,0.0244,0.03312,0.8520999999999999,0.01874065100256659,,,,,,0.02312262,,—,***
Abl_NoCORAL,− CORAL,ablation,0.017759999999999998,0.000842852300228219,0.017,0.0185,0.024079999999999997,0.8940400000000001,0.010537096374238986,0.72168,0.04732,-2.1514915943145754,0.013740000000000002,,0.017763507,,0.97715,ns
Abl_NoCrossAttn,− CrossAttn,ablation,0.019539999999999995,0.0005351635264103865,0.0188,0.0204,0.026000000000000002,0.87834,0.005785015125304321,0.58168,0.037219999999999996,-1.5096400871872901,0.015739999999999997,,0.019554818,,0.00063,***
Abl_NoCBAM,− CBAM,ablation,0.01874,0.0005314132102234565,0.0178,0.0196,0.025479999999999996,0.8824,0.007207773581349485,0.6590800000000001,0.0423,-1.677662205696106,0.014859999999999998,,0.018736526,,0.04385,*
Abl_NoSeqAug,− SeqAug,ablation,0.01806,0.002207804339156892,0.0173,0.0189,0.0245,0.8981199999999999,0.013745457431457131,0.7647799999999999,0.05172,-2.0904171466827393,0.013720000000000001,,0.01804198,,0.35746,ns
Abl_NoMonotonicity,− Monotonicity,ablation,0.01762,0.001260793400997959,0.0169,0.0184,0.02354,0.8989799999999999,0.014136392750627714,0.64686,0.03942,-0.8518862538039684,0.013900000000000001,,0.017638236,,0.94957,ns
Abl_NoVisDelta,− VisDelta,ablation,0.019340000000000003,0.0006711184694225013,0.0184,0.0201,0.025840000000000002,0.89374,0.011203320936222434,0.6538600000000001,0.04434,-1.9237772941589355,0.015220000000000001,,0.019325009,,—,***
