crop_disease,count,percentage
rice_blast,233,3.693136788714535
soybean_frog_eye_leafspot,213,3.3761293390394673
corn_smut,200,3.1700744967506735
tomato_early_blight,186,2.948169281978126
zucchini_powdery_mildew,185,2.932318909494373
cucumber_powdery_mildew,172,2.7262640672055793
tomato_late_blight,163,2.583610714851799
soybean_bacterial_blight,160,2.536059597400539
tomato_leaf_mold,156,2.4726581074655254
coffee_leaf_rust,153,2.4251069900142657
rice_bacterial_blight,150,2.377555872563005
rice_brown_spot,150,2.377555872563005
cucumber_angular_leafspot,150,2.377555872563005
corn_rust,139,2.2032017752417183
cabbage_black_rot,131,2.0763987953716914
corn_northern_leafblight,129,2.0446980504041847
potato_early_blight,123,1.9495958155016642
tomato_septoria_leafspot,123,1.9495958155016642
soybean_downy_mildew,123,1.9495958155016642
squash_powdery_mildew,121,1.9178950705341578
coffee_berry_blotch,118,1.8703439530828974
potato_late_blight,117,1.8544935805991443
maple_tar_spot,114,1.8069424631478839
bell_pepper_blossom_end_rot,112,1.7752417181803772
soybean_mosaic_virus,111,1.759391345696624
garlic_rust,106,1.680139483277857
tomato_bacterial_leafspot,105,1.6642891107941038
cucumber_bacterial_wilt,97,1.5374861309240766
tomato_yellow_leaf_curl_virus,93,1.474084640989063
corn_gray_leafspot,92,1.45823426850531
garlic_leafblight,92,1.45823426850531
cedar_apple_rust,80,1.2680297987002696
bean_rust,79,1.252179426216516
rice_sheath_blight,76,1.204628308765256
cabbage_downy_mildew,76,1.204628308765256
bell_pepper_bacterial_spot,76,1.204628308765256
soybean_rust,75,1.1887779362815025
zucchini_yellow_mosaic_virus,73,1.157077191313996
carrot_cavity_spot,72,1.1412268188302426
lettuce_downy_mildew,70,1.1095260738627357
ginger_sheath_blight,68,1.077825328895229
zucchini_bacterial_wilt,67,1.0619749564114755
soybean_brown_spot,64,1.0144238389602156
tobacco_brown_spot,64,1.0144238389602156
broccoli_alternaria_leafspot,63,0.9985734664764622
tomato_mosaic_virus,63,0.9985734664764622
basil_downy_mildew,62,0.9827230939927089
eggplant_cercospora_leafspot,60,0.9510223490252021
carrot_alternaria_leaf_blight,60,0.9510223490252021
tobacco_blue_mold,60,0.9510223490252021
bean_halo_blight,56,0.8876208590901886
cauliflower_alternaria_leafspot,53,0.8400697416389284
cabbage_alternaria_leafspot,52,0.8242193691551751
bean_mosaic_virus,51,0.8083689966714217
eggplant_phomopsis_fruit_rot,46,0.729117134252655
zucchini_downy_mildew,42,0.6657156443176415
lettuce_mosaic_virus,39,0.6181645268663813
celery_early_blight,36,0.5706134094151213
eggplant_phytophthora_blight,32,0.5072119194801078
bell_pepper_frogeye_leafspot,31,0.4913615469963544
celery_anthracnose,29,0.4596608020288477
cauliflower_bacterial_soft_rot,29,0.4596608020288477
broccoli_downy_mildew,28,0.4438104295450943
tobacco_frogeye_leafspot,27,0.42796005706134094
bell_pepper_powdery_mildew,27,0.42796005706134094
ginger_leafspot,25,0.3962593120938342
coffee_brown_eye_spot,20,0.3170074496750674
carrot_cercospora_leaf_blight,19,0.301157077191314
tobacco_mosaic_virus,19,0.301157077191314
broccoli_ring_spot,16,0.2536059597400539
coffee_black_rot,7,0.11095260738627358
