epoch,va_hub,tr_loss,sigma_huber,sigma_nll,sigma_rank,sigma_smooth,sigma_tcr,hs_0,hs_1,hs_2
1,0.0010050612763734534,2.45166,0.994,1.6387,2.702,1.6389,1.6389,-0.006,-0.006,-0.006
2,0.0012728772999253124,1.92098,0.9881,1.628,2.6861,1.6291,1.6292,-0.0116,-0.0115,-0.0115
3,0.0013304932945175096,1.86513,0.9824,1.6175,2.6705,1.6196,1.6197,-0.0143,-0.0141,-0.0143
4,0.0012341774272499606,1.2535,0.9769,1.6066,2.6555,1.6105,1.6106,-0.0146,-0.0142,-0.0145
5,0.0008888681913958862,1.09556,0.9716,1.5955,2.6412,1.6018,1.602,-0.0151,-0.0148,-0.015
6,0.0014244031335692853,1.01493,0.9666,1.5853,2.6277,1.5936,1.5938,-0.0153,-0.015,-0.0151
7,0.0007452376448782161,0.93638,0.962,1.5759,2.6153,1.586,1.5863,-0.0153,-0.0149,-0.0153
8,0.0007033424044493586,0.83307,0.9578,1.5675,2.6039,1.5791,1.5794,-0.0154,-0.0151,-0.0154
9,0.0004906366302748211,0.78781,0.9541,1.56,2.5937,1.5728,1.5732,-0.0155,-0.0153,-0.0154
10,0.0006911179225426167,0.80569,0.9508,1.5535,2.5847,1.5673,1.5677,-0.0154,-0.0152,-0.0153
11,0.0008399836151511408,0.70564,0.9479,1.548,2.5769,1.5626,1.563,-0.0155,-0.0153,-0.0155
12,0.0011743075447157025,0.68359,0.9455,1.5434,2.5703,1.5586,1.559,-0.0156,-0.0154,-0.0155
13,0.0009659002389525995,0.74112,0.9435,1.5397,2.5649,1.5553,1.5557,-0.0155,-0.0153,-0.0155
14,0.0007679275586269796,0.61982,0.9419,1.5367,2.5606,1.5527,1.5531,-0.0155,-0.0153,-0.0155
15,0.0006115559735917486,0.55164,0.9407,1.5344,2.5574,1.5507,1.5511,-0.0157,-0.0154,-0.0156
16,0.0007597329167765565,0.60423,0.9398,1.5328,2.555,1.5493,1.5497,-0.0157,-0.0154,-0.0156
17,0.0007933148008305579,0.56593,0.9392,1.5317,2.5534,1.5483,1.5487,-0.0157,-0.0154,-0.0156
18,0.000840255044749938,0.51876,0.9389,1.531,2.5524,1.5477,1.5481,-0.0157,-0.0154,-0.0156
19,0.000762253301218152,0.50218,0.9387,1.5307,2.5519,1.5474,1.5478,-0.0157,-0.0154,-0.0156
20,0.0007289321802090853,0.53959,0.9386,1.5305,2.5517,1.5472,1.5477,-0.0157,-0.0154,-0.0156
21,0.0013198636879678816,0.96571,0.933,1.5212,2.5364,1.538,1.5385,-0.0156,-0.0152,-0.0153
22,0.0006359138424159028,0.55531,0.9274,1.5119,2.5213,1.5288,1.5293,-0.0157,-0.0155,-0.0156
23,0.000585220055654645,0.49316,0.9219,1.5023,2.5064,1.5198,1.5202,-0.0159,-0.0155,-0.0159
24,0.0010807582293637097,0.44376,0.9165,1.4927,2.4917,1.5108,1.5113,-0.0155,-0.0151,-0.0157
25,0.0005590183500316925,0.37429,0.9112,1.483,2.4772,1.502,1.5025,-0.016,-0.0157,-0.016
26,0.0013665101578226313,0.24204,0.9059,1.4735,2.463,1.4934,1.4939,-0.016,-0.0158,-0.0158
27,0.000605337816523388,0.26817,0.9008,1.4641,2.4491,1.485,1.4855,-0.0158,-0.0155,-0.0159
28,0.0007154546910896897,0.2002,0.8958,1.4549,2.4356,1.4767,1.4773,-0.0161,-0.0158,-0.0161
29,0.000880596082424745,0.12636,0.891,1.446,2.4224,1.4687,1.4693,-0.0161,-0.0158,-0.0159
