epoch,lr,tr_loss,va_loss,tr_dice,tr_iou,tr_recall,tr_precision,tr_accuracy,tr_mcc,va_dice,va_iou,va_recall,va_precision,va_accuracy,va_mcc
1,2e-05,0.65714,0.60726,0.3928,0.2924,0.8597,0.3341,0.7812,0.3626,0.4822,0.3775,0.8997,0.4196,0.8806,0.4738
2,4e-05,0.58925,0.55491,0.4759,0.3736,0.8585,0.4315,0.8686,0.4615,0.5234,0.4211,0.8948,0.4705,0.9046,0.5144
3,6e-05,0.53572,0.47764,0.5074,0.4054,0.8525,0.4718,0.8925,0.4941,0.5536,0.4517,0.8653,0.5175,0.92,0.5423
4,8e-05,0.48669,0.42414,0.5286,0.4265,0.8406,0.5017,0.9026,0.513,0.5724,0.47,0.8438,0.5524,0.9283,0.558
5,0.0001,0.44396,0.40357,0.55,0.4483,0.8333,0.5316,0.9112,0.5307,0.581,0.48,0.8332,0.5644,0.9289,0.5639
6,0.0001,0.41318,0.40272,0.5764,0.4736,0.8308,0.5619,0.9192,0.5501,0.6002,0.495,0.7912,0.622,0.9336,0.5669
7,9.998134406309554e-05,0.39288,0.44027,0.6001,0.4975,0.8305,0.5881,0.9251,0.5634,0.5222,0.4194,0.8264,0.5085,0.9082,0.5024
8,9.99253901741414e-05,0.38025,0.37506,0.6201,0.5182,0.8308,0.6107,0.9297,0.5739,0.6644,0.5607,0.8607,0.6349,0.9286,0.5683
9,9.983218008802648e-05,0.37082,0.35783,0.6274,0.5254,0.8339,0.6176,0.9323,0.5812,0.6081,0.5075,0.842,0.6024,0.9358,0.5924
10,9.970178336161018e-05,0.36589,0.3543,0.6426,0.5411,0.834,0.6327,0.9349,0.5861,0.7199,0.6208,0.831,0.7303,0.9393,0.5975
11,9.953429730181653e-05,0.35965,0.35072,0.6519,0.5515,0.8343,0.6437,0.9373,0.5923,0.6923,0.5939,0.8293,0.6983,0.9428,0.6022
12,9.93298468930201e-05,0.35424,0.34456,0.662,0.5616,0.8374,0.6527,0.9392,0.5979,0.6977,0.5997,0.8235,0.7116,0.9461,0.6116
13,9.908858470377793e-05,0.35077,0.34413,0.6588,0.5592,0.8408,0.6483,0.9402,0.6018,0.6883,0.5903,0.8329,0.6957,0.9461,0.6119
14,9.881069077297723e-05,0.34623,0.35153,0.6672,0.5677,0.8416,0.6574,0.943,0.606,0.6209,0.5207,0.8276,0.6288,0.9417,0.6041
15,9.849637247548356e-05,0.34363,0.33621,0.6754,0.5763,0.8411,0.6661,0.9443,0.6094,0.722,0.6257,0.8509,0.7163,0.9453,0.6189
16,9.814586436738998e-05,0.34051,0.33956,0.6803,0.5819,0.844,0.6691,0.9455,0.6123,0.7087,0.6109,0.8699,0.6874,0.9423,0.6135
17,9.77594280109824e-05,0.33661,0.3463,0.6824,0.5842,0.8473,0.6709,0.9462,0.6162,0.694,0.5973,0.8285,0.7049,0.9441,0.6092
18,9.733735177955219e-05,0.33309,0.33257,0.6774,0.5797,0.8482,0.6663,0.9482,0.6205,0.6589,0.5614,0.8679,0.6392,0.947,0.6226
19,9.687995064220102e-05,0.33134,0.3388,0.686,0.5887,0.8496,0.6743,0.9492,0.6222,0.7438,0.6469,0.8394,0.7494,0.9462,0.6175
20,9.638756592879922e-05,0.32851,0.35022,0.6905,0.5935,0.8511,0.6786,0.9496,0.6254,0.6393,0.5401,0.8386,0.6363,0.9424,0.6024
21,9.586056507527266e-05,0.32618,0.33659,0.6956,0.5987,0.8541,0.6821,0.9505,0.6281,0.731,0.6349,0.8256,0.7488,0.9498,0.6234
22,9.52993413494082e-05,0.32397,0.35467,0.7126,0.6163,0.8528,0.7002,0.9516,0.6304,0.7108,0.612,0.8142,0.7323,0.9432,0.6016
23,9.470431355738257e-05,0.32052,0.36758,0.7206,0.6252,0.8565,0.7076,0.9523,0.6345,0.6941,0.5959,0.7542,0.7718,0.9477,0.5995
24,9.407592573123358e-05,0.31923,0.36276,0.7268,0.6313,0.8569,0.7134,0.9535,0.6356,0.6761,0.5761,0.8539,0.6599,0.9335,0.5879
25,9.341464679750669e-05,0.31799,0.33641,0.7228,0.6279,0.8584,0.7094,0.9537,0.637,0.755,0.6592,0.8343,0.7679,0.9484,0.6208
26,9.272097022732443e-05,0.31577,0.33102,0.7249,0.6301,0.8589,0.7111,0.9546,0.6392,0.7192,0.6239,0.8387,0.7267,0.95,0.6268
27,9.199541366813982e-05,0.3132,0.3428,0.7345,0.6401,0.8611,0.7197,0.9555,0.642,0.7216,0.6249,0.8435,0.7218,0.9438,0.6118
28,9.123851855744843e-05,0.3112,0.33748,0.7398,0.646,0.8616,0.726,0.9561,0.6442,0.7454,0.6501,0.8168,0.774,0.949,0.6238
29,9.045084971874738e-05,0.30913,0.32674,0.7476,0.6539,0.864,0.7328,0.9569,0.6467,0.7516,0.6582,0.8467,0.7573,0.9502,0.6327
30,8.963299494004291e-05,0.30693,0.32552,0.7515,0.6582,0.8654,0.7361,0.9573,0.6486,0.7542,0.66,0.8533,0.7542,0.949,0.631
31,8.8785564535221e-05,0.3067,0.33908,0.7479,0.6552,0.8634,0.7343,0.958,0.6493,0.7207,0.6262,0.8193,0.7485,0.9465,0.6191
