Model,Params (M),Latency (ms/batch),FPS,Peak VRAM (MB)
Proposed,2.231,3.37,18977.1,313.6
B1_MLP,0.444,0.38,168059.6,289.8
B2_EmbLSTM,0.569,1.2,53136.9,313.6
B2b_GRU,0.47,0.52,123058.4,311.9
B3_TCN,1.356,1.35,47481.2,291.4
B4_Transformer,2.282,1.48,43177.3,291.8
B5_NoTemporal,0.052,0.25,260166.2,289.4
Abl_NoCORAL,2.169,3.07,20867.4,313.6
Abl_NoCrossAttn,1.177,2.44,26176.3,313.6
Abl_NoCBAM,2.218,3.12,20495.9,313.6
Abl_NoSeqAug,2.231,3.51,18216.3,313.6
Abl_NoMonotonicity,2.231,3.47,18466.6,313.6
Abl_NoVisDelta,2.198,3.34,19134.6,313.6
